Page,Edits,Editors,Views
"Juan Guaidó",363,71,1528909
"Spécial:Recherche",?,?,916144
"Emiliano Sala",189,108,697833
"Signo zodiacal",0,0,693382
"Glass (película)",45,26,686480
"Nicolás Maduro",115,28,662031
"Freddie Mercury",9,7,650381
"Presidente de Venezuela",62,38,593387
"Venezuela",70,26,562244
"Kayden Boche",4,4,544663
"Roma (película de 2018)",119,39,532871
"Campeonato Sudamericano de Fútbol Sub-20 de 2019",481,156,431595
"Bird Box (película)",22,10,428561
"You (serie de televisión)",61,18,391461
"Jason Momoa",33,11,377277
"El protegido",15,8,376342
"Tabla periódica de los elementos",0,0,374204
"Split (película)",13,9,367748
"Reyes Magos",5,3,364801
"Ted Bundy",18,13,355355
"Titanes (serie de televisión)",18,8,354579
"Segunda Guerra Mundial",3,3,352268
"Primera Guerra Mundial",83,31,340259
"Arroba (símbolo)",12,7,327880
"Juan Pablo Duarte",15,10,308056
"España",61,34,307457
"Campeonato Mundial de Balonmano Masculino de 2019",197,18,303662
"Frida Kahlo",0,0,300613
"Aquaman (película)",172,77,300541
"Kevin-Prince Boateng",80,42,289777
"Andrew Cunanan",10,10,287904
"Anuel AA",10,3,277208
"Royal Rumble (2019)",931,238,273384
"Dragon Ball Super: Broly",143,56,272977
"Estados Unidos",66,36,272501
"Diez Mandamientos",7,7,266224
"Generación Y",19,9,265894
"Nicky Jam",7,5,265562
"Queen",63,33,264901
"Eclipse lunar",31,15,261463
"Pablo Escobar",3,2,258191
"Yalitza Aparicio",79,46,257770
"Huachicol",58,38,256244
"Miguel Ángel Félix Gallardo",5,3,254210
"Rodrigo (cantante)",15,9,254202
"México",6,3,248065
"Lionel Messi",13,3,247834
"Huachicolero",98,37,247262
"Sandra Bullock",16,13,244892
"Nuevas siete maravillas del mundo moderno",35,16,243607
"Isabel II del Reino Unido",46,22,243504
"Copa América 2019",234,73,241777
"Sex Education",29,10,241320
"Fernando Luján",61,34,240947
"Gianni Versace",0,0,238649
"Alfonso Cuarón",29,14,231498
"Cultura maya",39,22,228949
"Martin Luther King",89,43,222791
"Rami Malek",90,43,222653
"Revolución mexicana",0,0,219896
"Independencia de México",49,30,219241
"Brahim Díaz",335,114,216784
"La reina del flow",30,13,213814
"Cristiano Ronaldo",24,7,213096
"Revolución Industrial",2,1,212473
"Hantavirus",14,11,210165
"Eclipse lunar de enero de 2019",37,25,209922
"Rafael Nadal",108,45,209532
"Alexa Nikolas",4,4,209475
"Caso Mari Luz",4,4,208405
"Adolf Hitler",3,3,207777
"Canal de la Mancha",9,4,207166
"Simón Bolívar",78,32,203808
"BTS (banda)",245,109,201850
"Andrés Manuel López Obrador",25,6,200187
"Sylvester Stallone",16,7,198270
"José Mujica",15,11,194833
"Pablo López (cantante)",53,32,194566
"YouTube",93,42,193002
"Grupo de Lima",23,12,189157
"Karol G",61,29,188613
"Lady Gaga",40,5,185710
"Método científico",44,18,179234
"Accidente de Chernóbil",24,15,178139
"La casa de papel",24,14,175418
"Revolución francesa",0,0,174338
"Ragnar Lodbrok",4,3,173261
"Colonia Dignidad",5,4,170711
"LP (cantante)",17,13,169664
"Colombia",31,7,168278
"Luis Fonsi",25,17,168165
"Argentina",4,4,166966
"Daddy Yankee",8,4,166378
"Albert Einstein",0,0,164075
"Isaac Newton",0,0,161941
"Bradley Cooper",20,16,160497
"Hugo Chávez",3,2,160200
"Luis Miguel",2,2,159874
"Joaquín Guzmán Loera",1,1,159073
"Nanatsu no Taizai",12,8,157983
"Becky G",?,?,156782
"Universo cinematográfico de Marvel",?,?,156765
"Leonardo da Vinci",?,?,156688
"Baloncesto",?,?,156281
"Napoleón Bonaparte",?,?,156005
"Paulina Rubio",?,?,153985
"Bohemian Rhapsody (película)",?,?,151933
"Pedro Cavadas",?,?,151928
"Facebook",?,?,151414
"Riverdale (serie de televisión)",?,?,150319
"Aristóteles",?,?,149425
"Renacimiento",?,?,148870
"Asa Butterfield",?,?,147066
"Black Mirror",?,?,146931
"Avengers: Endgame",?,?,145387
"Michael Jackson",?,?,144806
"Paulo Londra",?,?,144271
"Amar a muerte",?,?,143399
"Filosofía",?,?,143131
"Zodiaco occidental",?,?,142198
"Porfirio Díaz",?,?,142127
"Mysterio",?,?,141330
"Jackie Chan",?,?,141244
"Harry Potter (serie cinematográfica)",?,?,139876
"Dua Lipa",?,?,139364
"Bad Bunny",?,?,139157
"Donald Trump",?,?,138290
"Leyes de Newton",?,?,137945
"Fascismo",?,?,137774
